date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:26	22218/22218	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-56ca%22	https://prium.github.io/Boots4/assets/img/navigation/service.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/navigation/service.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:26	1489/1489	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-5d1%22	https://prium.github.io/Boots4/assets/img/lineicons/suitcase.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/lineicons/suitcase.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:27	99052/99052	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-182ec%22	https://prium.github.io/Boots4/assets/img/navigation/portfolio.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/navigation/portfolio.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:27	1945/1945	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-799%22	https://prium.github.io/Boots4/assets/img/lineicons/heart.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/lineicons/heart.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:27	25395/25395	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-6333%22	https://prium.github.io/Boots4/assets/img/navigation/gallery.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/navigation/gallery.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:27	1710/1710	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-6ae%22	https://prium.github.io/Boots4/assets/img/lineicons/image.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/lineicons/image.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:28	62443/62443	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-f3eb%22	https://prium.github.io/Boots4/assets/img/navigation/faq.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/navigation/faq.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:28	1665/1665	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-681%22	https://prium.github.io/Boots4/assets/img/lineicons/computer.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/lineicons/computer.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:28	28488/28488	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-6f48%22	https://prium.github.io/Boots4/assets/img/navigation/contact.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/navigation/contact.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:28	2378/2378	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-94a%22	https://prium.github.io/Boots4/assets/img/lineicons/placeholder.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/lineicons/placeholder.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
